Month-to-month	Electronic check	1	29.85	29.85
One year	Mailed check	34	56.95	1889.5
Month-to-month	Mailed check	2	53.85	108.15
One year	Bank transfer (automatic)	45	42.3	1840.75
Month-to-month	Electronic check	2	70.7	151.65
Month-to-month	Electronic check	8	99.65	820.5
Month-to-month	Credit card (automatic)	22	89.1	1949.4
Month-to-month	Mailed check	10	29.75	301.9
Month-to-month	Electronic check	28	104.8	3046.05
One year	Bank transfer (automatic)	62	56.15	3487.95
Month-to-month	Mailed check	13	49.95	587.45
Two year	Credit card (automatic)	16	18.95	326.8
One year	Credit card (automatic)	58	100.35	5681.1
Month-to-month	Bank transfer (automatic)	49	103.7	5036.3
Month-to-month	Electronic check	25	105.5	2686.05
Two year	Credit card (automatic)	69	113.25	7895.15
One year	Mailed check	52	20.65	1022.95
Two year	Bank transfer (automatic)	71	106.7	7382.25
Month-to-month	Credit card (automatic)	10	55.2	528.35
Month-to-month	Electronic check	21	90.05	1862.9
Month-to-month	Electronic check	1	39.65	39.65
One year	Bank transfer (automatic)	12	19.8	202.25
Month-to-month	Mailed check	1	20.15	20.15
Two year	Credit card (automatic)	58	59.9	3505.1
Month-to-month	Credit card (automatic)	49	59.6	2970.3
Month-to-month	Bank transfer (automatic)	30	55.3	1530.6
Month-to-month	Electronic check	47	99.35	4749.15
Month-to-month	Electronic check	1	30.2	30.2
Two year	Credit card (automatic)	72	90.25	6369.45
Month-to-month	Mailed check	17	64.7	1093.1
Two year	Credit card (automatic)	71	96.35	6766.95
Month-to-month	Credit card (automatic)	2	95.5	181.65
One year	Mailed check	27	66.15	1874.45
Month-to-month	Bank transfer (automatic)	1	20.2	20.2
Month-to-month	Bank transfer (automatic)	1	45.25	45.25
Two year	Bank transfer (automatic)	72	99.9	7251.7
Month-to-month	Electronic check	5	69.7	316.9
Month-to-month	Credit card (automatic)	46	74.8	3548.3
Month-to-month	Electronic check	34	106.35	3549.25
Month-to-month	Bank transfer (automatic)	11	97.85	1105.4
One year	Mailed check	10	49.55	475.7
Two year	Credit card (automatic)	70	69.2	4872.35
One year	Mailed check	17	20.75	418.25
Two year	Credit card (automatic)	63	79.85	4861.45
Month-to-month	Electronic check	13	76.2	981.45
Month-to-month	Electronic check	49	84.5	3906.7
Month-to-month	Mailed check	2	49.25	97
Month-to-month	Electronic check	2	80.65	144.15
Two year	Credit card (automatic)	52	79.75	4217.8
Two year	Credit card (automatic)	69	64.15	4254.1
Month-to-month	Electronic check	43	90.25	3838.75
Month-to-month	Credit card (automatic)	15	99.1	1426.4
Month-to-month	Credit card (automatic)	25	69.5	1752.65
Month-to-month	Credit card (automatic)	8	80.65	633.3
One year	Credit card (automatic)	60	74.85	4456.35
Month-to-month	Electronic check	18	95.45	1752.55
One year	Credit card (automatic)	63	99.65	6311.2
One year	Electronic check	66	108.45	7076.35
Two year	Credit card (automatic)	34	24.95	894.3
Two year	Credit card (automatic)	72	107.5	7853.7
Month-to-month	Electronic check	47	100.5	4707.1
Month-to-month	Bank transfer (automatic)	60	89.9	5450.7
Two year	Bank transfer (automatic)	72	42.1	2962
One year	Credit card (automatic)	18	54.4	957.1
Month-to-month	Electronic check	9	94.4	857.25
Month-to-month	Electronic check	3	75.3	244.1
One year	Electronic check	47	78.9	3650.35
Two year	Mailed check	31	79.2	2497.2
Two year	Bank transfer (automatic)	50	20.15	930.9
Month-to-month	Mailed check	10	79.85	887.35
Month-to-month	Mailed check	1	49.05	49.05
One year	Electronic check	52	20.4	1090.65
Two year	Bank transfer (automatic)	64	111.6	7099
Two year	Bank transfer (automatic)	62	24.25	1424.6
Month-to-month	Bank transfer (automatic)	3	64.5	177.4
One year	Electronic check	56	110.5	6139.5
One year	Credit card (automatic)	46	55.65	2688.85
Month-to-month	Mailed check	8	54.65	482.25
Month-to-month	Electronic check	30	74.75	2111.3
One year	Credit card (automatic)	45	25.9	1216.6
Month-to-month	Electronic check	1	79.35	79.35
Month-to-month	Electronic check	11	50.55	565.35
Month-to-month	Bank transfer (automatic)	7	75.15	496.9
Month-to-month	Bank transfer (automatic)	42	103.8	4327.5
Two year	Bank transfer (automatic)	49	20.15	973.35
Month-to-month	Credit card (automatic)	9	99.3	918.75
One year	Bank transfer (automatic)	35	62.15	2215.45
Two year	Bank transfer (automatic)	48	20.65	1057
Two year	Mailed check	46	19.95	927.1
Month-to-month	Mailed check	29	33.75	1009.25
Month-to-month	Bank transfer (automatic)	30	82.05	2570.2
Month-to-month	Electronic check	1	74.7	74.7
Two year	Mailed check	66	84	5714.25
Month-to-month	Credit card (automatic)	65	111.05	7107
Two year	Bank transfer (automatic)	72	100.9	7459.05
Month-to-month	Electronic check	12	78.95	927.35
One year	Credit card (automatic)	71	66.85	4748.7
Month-to-month	Mailed check	5	21.05	113.85
Two year	Bank transfer (automatic)	52	21	1107.2
Month-to-month	Electronic check	25	98.5	2514.5
Month-to-month	Mailed check	1	20.2	20.2
Month-to-month	Electronic check	1	19.45	19.45
One year	Bank transfer (automatic)	38	95	3605.6
One year	Bank transfer (automatic)	66	45.55	3027.25
Two year	Bank transfer (automatic)	68	110	7611.85
Month-to-month	Mailed check	5	24.3	100.2
One year	Electronic check	72	104.15	7303.05
One year	Mailed check	32	30.15	927.65
One year	Mailed check	43	94.35	3921.3
Two year	Credit card (automatic)	72	19.4	1363.25
Month-to-month	Electronic check	55	96.75	5238.9
One year	Credit card (automatic)	52	57.95	3042.25
Month-to-month	Electronic check	43	91.65	3954.1
Month-to-month	Electronic check	37	76.5	2868.15
Two year	Electronic check	64	54.6	3423.5
Month-to-month	Electronic check	3	89.85	248.4
Two year	Bank transfer (automatic)	36	31.05	1126.35
Month-to-month	Electronic check	10	100.25	1064.65
Two year	Mailed check	41	20.65	835.15
Month-to-month	Credit card (automatic)	27	85.2	2151.6
One year	Credit card (automatic)	56	99.8	5515.45
Month-to-month	Mailed check	6	20.7	112.75
Month-to-month	Electronic check	3	74.4	229.55
Month-to-month	Mailed check	7	50.7	350.35
Month-to-month	Mailed check	4	20.85	62.9
Two year	Electronic check	33	88.95	3027.65
Month-to-month	Electronic check	27	78.05	2135.5
Two year	Bank transfer (automatic)	72	23.55	1723.95
Month-to-month	Mailed check	1	19.75	19.75
One year	Electronic check	71	56.45	3985.35
Month-to-month	Electronic check	13	85.95	1215.65
Month-to-month	Credit card (automatic)	25	58.6	1502.65
Two year	Bank transfer (automatic)	67	50.55	3260.1
Month-to-month	Electronic check	1	35.45	35.45
Month-to-month	Electronic check	2	44.35	81.25
Two year	Credit card (automatic)	43	25.7	1188.2
Month-to-month	Bank transfer (automatic)	23	75	1778.5
Two year	Mailed check	64	20.2	1277.75
Two year	Mailed check	57	19.6	1170.55
Month-to-month	Mailed check	1	70.45	70.45
Two year	Credit card (automatic)	72	88.05	6425.65
Month-to-month	Electronic check	8	71.15	563.65
Two year	Bank transfer (automatic)	61	101.05	5971.25
One year	Credit card (automatic)	64	84.3	5289.05
Two year	Bank transfer (automatic)	71	23.95	1756.2
Two year	Credit card (automatic)	65	99.05	6416.7
One year	Mailed check	3	19.6	61.35
